Outlet,Group 1 Wins,Group 2 Wins,Full Address,Postal Code,Area,Latitude,Longitude
NTUC FP Rivervale Mall,3,8,"Rivervale Mall, 11 Rivervale Crescent, Singapore 545082, Singapore",545082,Seng Kang,1.3919537,103.9047236
NTUC FP New Upper Changi Road,3,17,"57 New Upper Changi Road, Singapore 461057, Singapore",461057,Bedok,1.3246666,103.9414375
NTUC FP Marsiling MRT Station,3,20,"71 Woodlands Avenue 3, Singapore 739044, Singapore",739044,Woodlands West,1.4323902,103.7741183
NTUC FP Limbang Shopping Centre,3,15,"Limbang Shopping Centre, Choa Chu Kang North 5, Singapore 680533, Singapore",680533,Choa Chu Kang,1.3920843,103.7433168
NTUC FP Jem,3,40,"JEM, 50 Jurong Gateway Road, Singapore 608549, Singapore",608549,Jurong East,1.332647,103.7433111
NTUC FP Century Square,3,4,"Century Square, 2 Tampines Central 5, Singapore 529509, Singapore",529509,Tampines,1.3525968,103.9436741
NTUC FP Bukit Panjang Plaza,3,21,"Bukit Panjang Plaza, 1 Jelebu Road, Singapore 677743, Singapore",677743,Bukit Panjang,1.3803722,103.7642617
Nalayanee Trading Enterprise,3,12,"129 Upper Paya Lebar Road, Singapore 534829, Singapore",534829,Toa Payoh,1.3384901,103.8864474
Lim Heng Ee Trading Pte. Ltd.,3,15,"41 Kallang Place, Singapore 339153, Singapore",339153,Kallang Bahru,1.3155916,103.8693
Li Thoe Trading,3,23,"119 Aljunied Avenue 2, Singapore 380119, Singapore",380119,Geylang,1.3192072,103.886444
Kwek Lee Eng Agency,3,17,"Textile Centre, 200 Jalan Sultan, Singapore 199018, Singapore",199018,Kallang,1.3038262,103.8614018
Kim Chwee Trading,3,18,"Blk A #01-04 Kaki Bukit Avenue 6, Singapore 417883, Singapore",417883,Paya Lebar,1.341353,103.912393
Hougang United Football Club,3,5,"617, Hougang Avenue 2, Singapore 530631, Singapore",530631,Hougang,1.3695122,103.8834
Giant Pioneer Mall,3,21,"Pioneer Mall, 638 Jurong West Street 61, Singapore 640638, Singapore",640638,Jurong West,1.3418699,103.6973858
Giant Paya Lebar Square,3,22,"Paya Lebar Square, 60 Paya Lebar Road, Singapore 409051, Singapore",409051,Geylang,1.3191135,103.8924858
Giant Compassvale Bow,3,14,"266 Compassvale Bow, Singapore 540266, Singapore",540266,Seng Kang,1.3817505,103.8969228
Everbright  Services,3,18,"Depot Heights Shopping Centre, 108 Depot Road, Singapore 100108, Singapore",100108,Bukit Merah,1.2812742,103.8099871
Chua Hong Kim Trading,3,25,"237 Serangoon Avenue 3, Singapore 550253, Singapore",550253,Serangoon,1.3536057,103.8698424
7-Eleven Sin Ming,3,13,"244 Upper Thomson Road, Singapore 574369, Singapore",574369,Bishan,1.3533996,103.8346195
7-Eleven Plaza Singapura,3,19,"Plaza Singapura, 68 Orchard Road, Singapore 238839, Singapore",238839,Museum,1.3003302,103.8451764
7-Eleven Circular Rd,3,11,"73 Circular Road, Singapore 049423, Singapore",049423,Singapore River,1.2866714,103.8490196
7-Eleven Big Mac Centre,3,1,"51@AMK, 51 Ang Mo Kio Avenue 3, Singapore 569922, Singapore",569922,Ang Mo Kio,1.3692898,103.8471818
7-Eleven Bedok North Street 2,3,17,"Bedok North Street 2, Singapore 460122, Singapore",460122,Bedok North,1.3286351,103.9372078
Yeo Kean Fatt Dept Store,2,6,"17 Bedok South Road, Singapore 460017, Singapore",460017,Bedok,1.3201238,103.9354484
U Stars Keat Hong Link,2,5,"817 Keat Hong Link, Singapore 680817, Singapore",680817,Choa Chu Kang,1.3776376,103.7495902
Tampines Trading 824,2,16,"824 Tampines Street 81, Singapore 520824, Singapore",520824,Tampines,1.3490499,103.9327527
Singapore Pools Lorong Lew Lian Branch,2,16,"2 Lorong Lew Lian, Singapore 531002, Singapore",531002,Serangoon,1.3505921,103.8757788
Singapore Pools Geylang Rd Branch,2,6,"139 Geylang Road, Singapore 389226, Singapore",389226,Kampong Bugis,1.3111923,103.8741106
Singapore Pools Fajar Rd Branch,2,19,"Fajar Shopping Centre, 445 Fajar Road, Singapore 670445, Singapore",670445,Bukit Panjang,1.3834015,103.7712169
Singapore Pools Empress Rd Branch,2,16,"8 Empress Road, Singapore 266227, Singapore",266227,Bukit Timah,1.3163869,103.8053655
Singapore Pools Chai Chee Branch,2,11,"36 Chai Chee Road, Singapore 461036, Singapore",461036,Bedok,1.3253661,103.9253322
Singapore Pools Canberra Branch,2,24,"SWSB20, 505 Canberra Link, Singapore 750505, Singapore",750505,Sembawang,1.4502245,103.8227708
Singapore Pools Bukit Batok N3 Branch,2,11,"324 Bukit Batok Street 33, Singapore 650324, Singapore",650324,Bukit Batok,1.3621626,103.7478577
Singapore Pools Balestier Rd Branch,2,10,"Blk 2, 2 Balestier Road, Singapore 329901, Singapore",329901,Novena,1.3262024,103.8423091
Seah Koon Huat (Boon Tiong Rd),2,11,"Tiong Bahru View, 11A Boon Tiong Road, Singapore 161011, Singapore",161011,Bukit Merah,1.2861153,103.8289494
Seah Geok Eng Upper Serangoon View,2,11,"31 Upper Serangoon View, Singapore 534237, Singapore",534237,Kangkar,1.3748539,103.9030884
S E Store,2,13,"41 West Coast Highway, Singapore 119615, Singapore",119615,Port,1.285532,103.7675
Prime Yishun Ave 6,2,2,"334A Yishun Street 31, Singapore 761334, Singapore",761334,Yishun East,1.432994,103.8453055
Prime Woodlands,2,15,"Sing Lun Building, 30 Marsiling Lane, Singapore 730210, Singapore",730210,Woodlands,1.4480459,103.7759
Prime Joo Seng,2,2,"1 Upper Aljunied Lane, Singapore 360004, Singapore",360004,Toa Payoh,1.3343555,103.878653
Prime Compassvale St,2,14,"Compassvale Street, Singapore 545091, Singapore",545091,Seng Kang,1.3951499,103.8980618
Precise Optics,2,13,"Shan Road, Singapore 329550, Singapore",329550,Novena,1.3252963,103.8469
Papillon Florist Pte Ltd,2,10,"133 Jalan Bukit Merah, Singapore 160132, Singapore",160132,Bukit Merah,1.2795523,103.8274126
Overseas Emporium (Pte) Ltd,2,22,"People's Park Complex, 02-67 1 Park Rd, Singapore 059108, Singapore",059108,Outram,1.2841159,103.8424418
NTUC FP Tampines St 11,2,7,"107 Tampines Street 11, Singapore 521108, Singapore",521108,Tampines,1.3483876,103.9480679
NTUC FP Tai Seng,2,9,"Tai Seng, 33 Upper Paya Lebar Road, Singapore 534803, Singapore",534803,Toa Payoh,1.3358756,103.8877164
NTUC FP Shaw Plaza,2,3,"Shaw Plaza, 360 Balestier Road, Singapore 329783, Singapore",329783,Novena,1.3252572,103.8510491
NTUC FP Sengkang East Ave,2,5,"279 MSCP (SK92) and Shops, 279 Sengkang East Avenue, Singapore 540279, Singapore",540279,Seng Kang,1.3863837,103.893323
NTUC FP Seletar Mall,2,12,"Seletar Mall, 33 Sengkang West Avenue, Singapore 797653, Singapore",797653,Seng Kang,1.3915208,103.8760834
NTUC FP Punggol Plaza,2,26,"Punggol Plaza, 168 Punggol Field, Singapore 820168, Singapore",820168,Punggol,1.394228,103.913016
NTUC FP Punggol Oasis Terraces,2,10,"Oasis Terraces, 681 Punggol Drive, Singapore 820681, Singapore",820681,Punggol,1.4026301,103.9129247
NTUC FP Kallang Wave Mall,2,11,"Kallang Wave Mall, Stadium Place, Singapore 397628, Singapore",397628,Kallang,1.3032243,103.8728714
NTUC FP Hougang Mall,2,22,"Hougang Mall, 90 Hougang Avenue 10, Singapore 538766, Singapore",538766,Hougang,1.3725894,103.8937225
NTUC FP Eastpoint Mall,2,30,"East Point, Simei Street 6, Singapore 520256, Singapore",520256,Tampines,1.3427145,103.9530415
NTUC FP Dawson Place,2,15,"53 Commonwealth Avenue, Singapore 144053, Singapore",144053,Queenstown,1.2927082,103.8084
Li Li Cheng Supermarket (Punggol) Pte Ltd,2,15,"Punggol Regalia, 273C Punggol Place, Singapore 823273, Singapore",823273,Punggol,1.4023496,103.9012804
Lee Ah Lan Trading,2,8,"61 Teban Gardens Road, Singapore 600065, Singapore",600065,Jurong East,1.3221316,103.7384602
Hock Soon Ann,2,14,"73 Bedok South Avenue 3, Singapore 460073, Singapore",460073,Bedok,1.3199523,103.9439787
Goh Geok Kwee (Bukit Merah),2,18,"Blk 124, 01-144 Bukit Merah Lane 1, Singapore 150127, Singapore",150127,Bukit Merah,1.2862127,103.8034449
Gerk Chwee Trading,2,17,"10 Kensington Park Road, Singapore 557255, Singapore",557255,Serangoon Garden,1.3650374,103.8660568
Cheng Tai Boon Beng,2,14,"Orchard Plaza, 150 Orchard Road, Singapore 238841, Singapore",238841,Orchard,1.3010249,103.8410995
Cheng Chew Wah Agency (Bedok South),2,15,"17 Bedok South Road, Singapore 460017, Singapore",460017,Bedok,1.3202245,103.9357353
Cheers Hougang Ave 3,2,10,"23 Hougang Avenue 3, Singapore 530024, Singapore",530024,Hougang,1.3649403,103.8907136
Balestier Khalsa Football Club,2,0,"Philips TP2, 622 Lorong 1 Toa Payoh, Singapore 319763, Singapore",319763,Toa Payoh,1.3346246,103.8428
A P Minimart Bedok Reservoir,2,12,"121 Bedok Reservoir Road, Singapore 470121, Singapore",470121,Bedok,1.331378,103.909657
7-Eleven Jalan Leban,2,12,"39 Jalan Leban, Singapore 574416, Singapore",574416,Ang Mo Kio,1.3732041,103.8307393
7-Eleven Foch Rd,2,9,"36 Foch Road, Singapore 209276, Singapore",209276,Kallang,1.3125522,103.8602028
7-Eleven Bukit Batok West Avenue 6,2,10,"132 Bukit Batok West Avenue 6, Singapore 650132, Singapore",650132,Bukit Batok,1.3503796,103.7457888
Warriors Football Club (S),1,0,"Canadian International School, Boon Lay Way, Singapore 648164, Singapore",648164,Jurong West,1.3466409,103.7274
Uni-Foto Pte Ltd,1,10,"Lucky Plaza, 304 Orchard Road, Singapore 238863, Singapore",238863,Orchard,1.3043767,103.8338798
Tuas View,1,10,"67S Tuas South Avenue 1, Singapore 637601, Singapore",637601,Tuas Promenade,1.3138196,103.6257365
Springdale Garments Co,1,28,"408 Ang Mo Kio Avenue 10, Singapore 560408, Singapore",560408,Ang Mo Kio,1.3624694,103.8544125
Singapore Pools Yishun N4 Branch,1,29,"415, Yishun Ring Road, Singapore 760413, Singapore",760413,Yishun,1.4246239,103.8457337
Singapore Pools Woodlands N8 Branch,1,29,"Woodlands Avenue 2, Singapore 738526, Singapore",738526,Woodlands,1.4381922,103.7889597
Singapore Pools Upp Thomson Branch,1,3,"Opposite Sembawang Hills Food Centre, Upper Thomson Road, Singapore 574416, Singapore",574416,Ang Mo Kio,1.3725206,103.8285173
Singapore Pools Upp Boon Keng Branch,1,25,"UOB, 18 Upper Boon Keng Road, Singapore 380018, Singapore",380018,Kallang,1.314381,103.8720873
Singapore Pools Lengkok Bahru Branch,1,15,"Lengkok Bahru Heights, 63B Lengkok Bahru, Singapore 152063, Singapore",152063,Bukit Merah,1.2895097,103.8156477
Singapore Pools Great World City Branch,1,15,"Great World City, 1 Kim Seng Promenade, Singapore 237994, Singapore",237994,Singapore River,1.2936417,103.8319293
Singapore Pools Everton Park Branch,1,13,"7 Neil Road, Singapore 080007, Singapore",080007,Bukit Merah,1.277067,103.8393496
Singapore Pools Bishan N1 Branch,1,10,"152 Bishan Street 11, Singapore 570152, Singapore",570152,Bishan,1.3455241,103.8544795
Sheng Siong Marsiling Mall,1,3,"Marsiling Mall Hawker Centre, 4 Woodlands Street 12, Singapore 738623, Singapore",738623,Woodlands,1.4333206,103.7798555
River Hong Bao,1,2,"Jurong East Avenue 1, Singapore 600301, Singapore",600301,Jurong East,1.3436102,103.7357
Prime Serangoon North,1,11,"542B Serangoon North Avenue 3, Singapore 552542, Singapore",552542,Serangoon,1.3735994,103.8713175
Prime Hougang,1,4,"941 Upper Serangoon Road, Singapore 534711, Singapore",534711,Hougang,1.3612182,103.8862529
Prime Buangkok Square,1,7,"Buangkok Square Mall, 991 Buangkok Link, Singapore 530991, Singapore",530991,Hougang,1.3846918,103.8819586
Prime Admiralty Place,1,4,"678A Admiralty Wet Market & MSCP, Town Council Cycling Path, Singapore 738991, Singapore",738991,Woodlands,1.4404597,103.8017782
Premier Security Co-operative Ltd,1,11,"Little India, Rochor Canal Road, Singapore 188505, Singapore",188505,Rochor,1.3095329,103.856624
Pinthely Floral Centre,1,12,"83 Commonwealth Close, Singapore 140083, Singapore",140083,Queenstown,1.304379,103.8001
Ong Eng Siang Trading,1,10,"71 Seng Poh Road, Singapore 168898, Singapore",168898,Bukit Merah,1.284286,103.8324117
NTUC FP Tiong Bahru Plaza,1,18,"Tiong Bahru Plaza, 302 Tiong Bahru Road, Singapore 164019, Singapore",164019,Bukit Merah,1.2866535,103.8271459
NTUC FP The Woodleigh Mall,1,2,"The Woodleigh Mall, 11 Bidadari Park Drive, Singapore 341115, Singapore",341115,Toa Payoh,1.3387347,103.8717689
NTUC FP Telok Blangah Street 32,1,4,"78B Telok Blangah Street 32, Singapore 100066, Singapore",100066,Bukit Merah,1.2736662,103.8091203
NTUC FP Square 2,1,3,"Novena, Irrawaddy Road, Singapore 307506, Singapore",307506,Novena,1.3205626,103.8440211
NTUC FP Senja Road,1,8,"Blk 628, 628 Senja Road, Singapore 670628, Singapore",670628,Bukit Panjang,1.3851246,103.7603397
NTUC FP Paya Lebar Quarter,1,2,"Paya Lebar Quarter Retail Mall, 10 Paya Lebar Road, Singapore 409057, Singapore",409057,Geylang,1.3176666,103.8931627
NTUC FP Parkway Parade,1,16,"Parkway Parade, 80 Marine Parade Road, Singapore 449269, Singapore",449269,Marine Parade,1.3013366,103.9052333
NTUC FP Le Quest,1,1,"Le Quest, 10 Bukit Batok Street 41, Singapore 657990, Singapore",657990,Bukit Batok,1.3557406,103.7408842
NTUC FP Kallang Bahru,1,12,"71 Kallang Bahru, Singapore 330071, Singapore",330071,Kallang,1.3209366,103.8705671
NTUC FP Hougang St 21,1,19,"202 Hougang Street 21, Singapore 530202, Singapore",530202,Hougang,1.3575249,103.8839874
NTUC FP Hougang Point,1,5,"941 Upper Serangoon Road, Singapore 534711, Singapore",534711,Hougang,1.3612182,103.8862529
NTUC FP Hillion Mall,1,19,"Hillion Mall, 17 Petir Road, Singapore 678278, Singapore",678278,Bukit Panjang,1.378531,103.7632107
NTUC FP Coronation,1,7,"The Tresor, 28 Duchess Road, Singapore 269028, Singapore",269028,Bukit Timah,1.3239058,103.8074
NTUC FP Compassvale Link,1,4,"Compassvale Link, Singapore 540269, Singapore",540269,Compassvale,1.3835873,103.8951903
NTUC FP Canberra Plaza,1,4,"Canberra Plaza, 133 Canberra View, Singapore 750133, Singapore",750133,Sembawang,1.4432641,103.8305674
NTUC FP Bishan St 13,1,12,"510 Bishan Street 13, Singapore 570510, Singapore",570510,Bishan,1.3487352,103.8498826
NTUC FP Bedok North St 1,1,34,"212 Bedok North Street 1, Singapore 460212, Singapore",460212,Bedok,1.3259118,103.9315981
NTUC Foodfare - Seletar Mall,1,1,"Seletar Mall, 33 Sengkang West Avenue, Singapore 797653, Singapore",797653,Seng Kang,1.3915208,103.8760834
Nel's Store,1,8,"553 Bedok Reservoir Road, Singapore 479269, Singapore",479269,Bedok,1.3382986,103.9203
Ichido Kopitiam City,1,8,"Kopitiam City, Sengkang Central, Singapore 545061, Singapore",545061,Seng Kang,1.3819067,103.8934239
Hao Mart Geylang Lor 24,1,6,"448 Geylang Road, Singapore 389413, Singapore",389413,Geylang,1.3132758,103.8836595
Goh Geok Kwee Agency,1,5,"84 Redhill Lane, Singapore 150084, Singapore",150084,Bukit Merah,1.2872356,103.8187506
Giant VivoCity,1,3,"VivoCity, 1 Harbourfront Avenue, Singapore 098585, Singapore",098585,Bukit Merah,1.2648859,103.8221267
Giant Sembawang Shopping Centre,1,12,"Sembawang Shopping Centre, 604 Sembawang Road, Singapore 758459, Singapore",758459,Sembawang,1.4414712,103.8245883
Giant Greenridge Shopping Centre,1,10,"Greenridge Shopping Centre, 524A Jelapang Road, Singapore 671524, Singapore",671524,Bukit Panjang,1.385545,103.7661474
Giant Edgefield Plains,1,10,"Waterway Banks, 671 Edgefield Plains, Singapore 820671, Singapore",820671,Punggol,1.4055435,103.9120056
Chua Seng Dept Store,1,3,"Pet Lovers Centre, 345 Bedok Road, Singapore 469530, Singapore",469530,Bedok,1.3313731,103.9473462
Chop Yeo Thong Heng (International Plaza),1,3,"International Plaza, 10 Anson Road, Singapore 079903, Singapore",079903,Downtown Core,1.275697,103.845748
Choice Decor Bedok North,1,12,"416 Bedok North Avenue 2, Singapore 460416, Singapore",460416,Bedok,1.3284617,103.9306227
China Square Betting Centre - Lottery Lobby (Public),1,1,"51 Telok Ayer Street, Singapore 048441, Singapore",048441,Downtown Core,1.2828631,103.8492472
Cheers Bedok North Street 3,1,15,"539 Bedok North Street 3, Singapore 460539, Singapore",460539,Bedok,1.3316948,103.9257663
Bukit Merah Betting Centre - Lottery Lobby (Public),1,1,"169 Bukit Merah Central, Singapore 159838, Singapore",159838,Bukit Merah,1.2835217,103.8186889
B.H. Mini Mart,1,6,"St Andrew's Junior College, 5 Sorby Adams Drive, Singapore 357691, Singapore",357691,Toa Payoh,1.3339005,103.8632
A P Mini Mart,1,7,"119 Potong Pasir Avenue 1, Singapore 350119, Singapore",350119,Toa Payoh,1.3350152,103.8631
7-Eleven Upp Thomson Road,1,12,"Opposite Sembawang Hills Food Centre, Upper Thomson Road, Singapore 574416, Singapore",574416,Ang Mo Kio,1.3725206,103.8285173
7-Eleven Erskine Rd,1,8,"25 Erskine Road, Singapore 069333, Singapore",069333,Downtown Core,1.2809093,103.8452225
7-Eleven Clementi Street 11,1,7,"Blk 109, 109 Sunset Way, Singapore 120109, Singapore",120109,Clementi,1.3221737,103.7705122
7-Eleven Balestier Rd,1,1,"519 Balestier Road, Singapore 329853, Singapore",329853,Novena,1.3264948,103.8463065
Warriors Football Club (S),0,2,"Canadian International School, Boon Lay Way, Singapore 648164, Singapore",648164,Jurong West,1.3466409,103.7274
Thiam Hoon Traders,0,7,"Blk 124, 01-144 Bukit Merah Lane 1, Singapore 150127, Singapore",150127,Bukit Merah,1.2862127,103.8034449
The Little Plaza,0,1,,,,0,
Tampines Rovers Football Club,0,2,"Our Tampines Hub, 51 Tampines Avenue 4, Singapore 529684, Singapore",529684,Tampines,1.352771,103.940312
STC Racecourse - Kranji 1,0,1,"39 Sungei Kadut Street 4, Singapore 729238, Singapore",729238,Reservoir View,1.421381,103.7475185
Singapore Racecourse - MRT Plaza (Public),0,1,"Singapore Turf Club, Woodlands Road, Singapore 738702, Singapore",738702,Sungei Kadut,1.424425,103.7617741
Singapore Pools Yishun N7 Branch,0,18,"Yishun Avenue 5, Singapore 768794, Singapore",768794,Yishun,1.430368,103.8353628
Singapore Pools Woodlands Centre,0,2,"1A Woodlands Centre Road, Singapore 730025, Singapore",730025,North Coast,1.4417189,103.7707833
Singapore Pools Upp Serangoon Branch,0,3,"Upper Serangoon Road, Singapore 534682, Singapore",534682,Hougang,1.3576474,103.8824703
Singapore Pools Rochor Centre Branch,0,1,"1 Rochor Road, Singapore 188425, Singapore",188425,Bugis,1.3025558,103.8548721
Singapore Pools Lor 4 Toa Payoh Branch,0,16,"85 Lorong 4 Toa Payoh, Singapore 310085, Singapore",310085,Toa Payoh,1.3363138,103.848503
Singapore Pools Jalan Batu Branch,0,16,"7 Kampong Kayu Road, Singapore 431001, Singapore",431001,Kallang,1.3025083,103.8836721
Singapore Pools Commonwealth Crescent Branch,0,11,"116 Commonwealth Crescent, Singapore 140116, Singapore",140116,Queenstown,1.3069324,103.8000377
Singapore Pools Changi Rd Branch,0,13,"324K Changi Road, Singapore 419785, Singapore",419785,Bedok,1.3179055,103.908016
Sheng Siong Woodlands Drive 16,0,2,"573 Woodlands Drive 16, Singapore 730573, Singapore",730573,Woodlands,1.4309488,103.7985447
Sheng Siong Tampines Ave 9,0,3,"602B Tampines Avenue 9, Singapore 522602, Singapore",522602,Tampines,1.3612331,103.9375882
Sheng Siong Senja Close,0,1,"643 Senja Road, Singapore 670642, Singapore",670642,Bukit Panjang,1.3878715,103.7630773
Sheng Siong Sengkang West Avenue,0,5,"455 Sengkang West Avenue, Singapore 790455, Singapore",790455,Seng Kang,1.3920742,103.8712149
Sheng Siong Jalan Berseh,0,4,"New World Centre, 1 Jalan Berseh, Singapore 209037, Singapore",209037,Rochor,1.3077714,103.8570934
Serangoon Avenue 3   Betting Centre - Lottery Lobby (Public),0,1,"322 Serangoon Avenue 3, Singapore 550322, Singapore",550322,Serangoon,1.3515054,103.8682342
Seng Yeok Chan Agency,0,24,"338 Ang Mo Kio Street 32, Singapore 560338, Singapore",560338,Ang Mo Kio,1.3636436,103.848827
Rangoon Betting Centre - Lottery Lobby (Public),0,4,"Worcester Road, Singapore 218903, Singapore",218903,Kallang,1.3132459,103.8525
Prime Century Square,0,15,"Century Square, 2 Tampines Central 5, Singapore 529509, Singapore",529509,Tampines,1.3522704,103.9438833
Poon Long Heng,0,2,"716 Yishun Street 71, Singapore 760716, Singapore",760716,Yishun,1.426455,103.827678
NTUC FP Wisteria Mall,0,3,"Wisteria Mall, 598 Yishun Ring Road, Singapore 768698, Singapore",768698,Yishun,1.418208,103.8411267
NTUC FP VivoCity,0,8,"VivoCity, 1 Harbourfront Avenue, Singapore 098585, Singapore",098585,Bukit Merah,1.2648859,103.8221267
NTUC FP The Woodgrove,0,12,"The Woodgrove, 30 Woodlands Avenue 1, Singapore 739065, Singapore",739065,Woodlands,1.42895,103.781124
NTUC FP Punggol Walk,0,7,"Waterway Terraces, 308B Punggol Walk, Singapore 822308, Singapore",822308,Punggol,1.4076875,103.8997453
NTUC FP Killiney Rd,0,15,"Doctor Jay Medical Center, 113 Killiney Road, Singapore 239546, Singapore",239546,River Valley,1.298006,103.8386113
NTUC FP Bukit Timah Plaza,0,11,"Bukit Timah Plaza, 1 Jalan Anak Bukit, Singapore 588996, Singapore",588996,Bukit Timah,1.3387468,103.7786758
Majestic Betting Centre - Lottery Lobby (Public),0,1,"2 Leonie Hill Road, Singapore 238372, Singapore",238372,Leonie Hill,1.2976902,103.8343
Lee Wah TV & Electric Co,0,14,"Asia Hardware PTE LTD, Geylang Road, Singapore 389509, Singapore",389509,Geylang,1.3142787,103.8874656
Keppel Credit Union Co-operative Ltd,0,7,,,,0,
Jurong East Betting Centre - Lottery Lobby (Public),0,2,"352 Jurong East Street 31, Singapore 600352, Singapore",600352,Jurong East,1.3450286,103.730396
Holland Drive Betting Outlet - Lottery Lobby (Public),0,4,"14A Ghim Moh Road, Singapore 271014, Singapore",271014,Queenstown,1.3088172,103.7902
Hin Teck Leong Trading Company,0,30,"Little India, Rochor Canal Road, Singapore 188505, Singapore",188505,Rochor,1.3078063,103.8522
Hao Mart Westgate,0,1,"Westgate, 3 Gateway Drive, Singapore 608532, Singapore",608532,Jurong East,1.3343054,103.7428429
Hao Mart Punggol Walk,0,4,"Waterway Terraces, 308C Punggol Walk, Singapore 823308, Singapore",823308,Punggol,1.4081951,103.8989122
Giant Tanjong Katong,0,2,"Joo Chiat Road, Singapore 428820, Singapore",428820,Marine Parade,1.3059671,103.9049556
Giant Buangkok Cresent,0,10,"982 Buangkok Green, Singapore 532987, Singapore",532987,Hougang,1.3807848,103.8792652
Geylang International FC,0,2,"Goodwood Park Hotel, 22 Scotts Road, Singapore 228221, Singapore",228221,Orchard,1.3078062,103.8341
Food Republic i12 Katong,0,2,"i12 Katong, 112 East Coast Road, Singapore 428802, Singapore",428802,Marine Parade,1.3052934,103.9051599
Choice Decor Co-Operative Society Ltd,0,18,"28 Sin Ming Drive, Singapore 575624, Singapore",575624,Bishan,1.3569044,103.8364
China Square Betting Centre - Level 2,0,1,"51 Telok Ayer Street, Singapore 048441, Singapore",048441,Downtown Core,1.2828631,103.8492472
Cheers Woodlands Centre,0,4,"50 Woodlands Industrial Park D Street 2, Singapore 738799, Singapore",738799,Kranji,1.4342695,103.7679
Cheers Northshore Plaza II,0,3,"Northshore Plaza II, 418 Northshore Drive, Singapore 820418, Singapore",820418,Punggol,1.417666,103.9013141
Cheers Maude Rd,0,2,"65 Maude Road, Singapore 208510, Singapore",208510,Lavender,1.3080797,103.8582491
Bedok Betting Centre - Lottery Lobby (Public),0,3,"New Upper Changi Road, Singapore 460223, Singapore",460223,Bedok,1.3236038,103.9273405
Balestier Khalsa Football Club,0,5,"Giffard Mansion, Balestier Road, Singapore 329832, Singapore",329832,Novena,1.3260311,103.8492
7-Eleven Tai Thong Crescent,0,5,"25 Tai Thong Crescent, Singapore 347857, Singapore",347857,Toa Payoh,1.3290505,103.8696971
7-Eleven Kim Tian,0,1,"126C Kim Tian Road, Singapore 160121, Singapore",160121,Bukit Merah,1.2824863,103.8291805
7-Eleven Esplanade MRT Station,0,5,"South Beach Avenue, Esplanade Xchange, Singapore 189560, Singapore",189560,Downtown Core,1.2940432,103.8554093
